domain,detection_level,device,grouped_domain,domain_id,port
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51497.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51501.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51519.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51523.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51547.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51567.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51579.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51587.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51589.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51633.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51657.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51663.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51669.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51671.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51673.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51699.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51707.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51725.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51729.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51735.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51747.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51779.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51795.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51799.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51855.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51867.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51877.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51887.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51895.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51913.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51927.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51931.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51935.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51945.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51949.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51961.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51967.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51987.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,52013.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,58200.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,9997.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,9999.0
pc.anovaculinary.com.,sousvide,sousvide,pc.anovaculinary.com.,68,8080.0
pnp.microseven.com.,microseven-camera,microseven-camera,pnp.microseven.com.,35,7000.0
pnp.microseven.com.,microseven-camera,microseven-camera,pnp.microseven.com.,35,7007.0
pprtp.iruntop.com.,luohe-spycam,luohe-spycam,pprtp.iruntop.com.,32,32100.0
prd17a.boxen.electricimp.com.,ikettle,ikettle,prd17a.boxen.electricimp.com.,25,443.0
prd19a.boxen.electricimp.com.,smarter-coffee-mach,smarter-coffee-mach,prd19a.boxen.electricimp.com.,61,31314.0
provprod.clouddevice.io.,honeywell-thermostat,honeywell-thermostat,provprod.clouddevice.io.,20,443.0
pub-cfg.secu100.net.,icsee-doorbell,icsee-doorbell,pub-cfg.secu100.net.,23,6610.0
pub-cfg.secu100.net.,icsee-doorbell,icsee-doorbell,pub-cfg.secu100.net.,23,6612.0
pub-cfg.secu100.net.,icsee-doorbell,icsee-doorbell,pub-cfg.secu100.net.,23,6614.0
pub-cfg.secu100.net.,icsee-doorbell,icsee-doorbell,pub-cfg.secu100.net.,23,80.0
pub-cfg.secu100.net.,icsee-doorbell,icsee-doorbell,pub-cfg.secu100.net.,23,8086.0
pushx.reolink.com.,reolink-cam-wired,reolink-cam-wired,pushx.reolink.com.,40,80.0
query.jingxuncloud.com.,appkettle,appkettle,query.jingxuncloud.com.,8,6000.0
r0801.dch.dlink.com.,dlink-mov,dlink-mov,r0801.dch.dlink.com.,19,443.0
r0802.dch.dlink.com.,dlink-mov,dlink-mov,r0802.dch.dlink.com.,17,443.0
r0803.dch.dlink.com.,dlink-mov,dlink-mov,r0803.dch.dlink.com.,15,443.0
rest-hw-prde.immedia-semi.com.,blink-security-hub,blink-security-hub,rest-hw-prde.immedia-semi.com.,12,443.0
rest-hw-u002.immedia-semi.com.,blink-security-hub,blink-security-hub,rest-hw-u002.immedia-semi.com.,11,443.0
retail-prod.web.roku.com.,roku-tv,roku-tv,retail-prod.web.roku.com.,56,443.0
rss-dpd-service.ring.com.,ring-doorbell,ring-doorbell,rss-dpd-service.ring.com.,43,9998.0
rtp3.runtopcam.com.,luohe-spycam,luohe-spycam,rtp3.runtopcam.com.,31,32100.0
scribe.logs.roku.com.,roku-tv,roku-tv,scribe.logs.roku.com.,58,443.0
secure.brillion.geappliances.com.,microwave,microwave,secure.brillion.geappliances.com.,36,443.0
srmp01lb02.ch.pub.arrayent.com.,lightify-hub,lightify-hub,srmp01lb02.ch.pub.arrayent.com.,29,80.0
srmp02lb02.us.pub.arrayent.com.,lightify-hub,lightify-hub,srmp02lb02.us.pub.arrayent.com.,30,80.0
time.meethue.com.,t-philips-hub,t-philips-hub,time.meethue.com.,69,443.0
tis.cti.roku.com.,roku-tv,roku-tv,tis.cti.roku.com.,47,443.0
tzinfo.dch.dlink.com.,dlink-mov,dlink-mov,tzinfo.dch.dlink.com.,18,80.0
us.cloud.sengled.com.,sengled_cat,sengled-hub-spoofed,new_domain_2,59,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-bulb,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug2,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug-pow1,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug-pow2,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug-pow4,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug-pow5,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug-pow6,use1-api.tplinkra.com.,76,443.0
use1-api.tplinkra.com.,tplink_cat,tplink-plug,use1-api.tplinkra.com.,76,443.0
us-life2.cloud.sengled.com.,sengled_cat,sengled-hub-spoofed,new_domain_2,59,443.0
ws.meethue.com.,t-philips-hub,t-philips-hub,ws.meethue.com.,71,443.0
wu.ring.com.,ring-doorbell,ring-doorbell,wu.ring.com.,42,443.0
www.ecdinterface.philips.com,t-philips-hub,t-philips-hub,www.ecdinterface.philips.com,73,80.0
www-roku.mgo.com.,roku-tv,roku-tv,www-roku.mgo.com.,48,443.0
xmpp14.wca.geappliances.com.,microwave,microwave,xmpp14.wca.geappliances.com.,37,5225.0
